# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Feb 20 12:37:15 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_radjstr in [0, 2]
# CONSTRAINT:  and pl_massjstr in [.2,1.2])
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter Mass]
# COLUMN pl_massjerr1:   Planet Mass [Jupiter Mass] Upper Unc.
# COLUMN pl_massjerr2:   Planet Mass [Jupiter Mass] Lower Unc.
# COLUMN pl_massjlim:    Planet Mass [Jupiter Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
#
pl_name,discoverymethod,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim
HAT-P-18 b,Transit,0.995,0.052,-0.052,0,0.20000,0.01900,-0.01900,0,0.25100,0.05200,-0.04200,0
Kepler-30 b,Transit,0.321,0.045,-0.045,0,0.20000,,,1,,,,
HAT-P-12 b,Transit,0.919,0.023,-0.023,0,0.20100,0.01100,-0.01100,0,0.24200,0.01700,-0.01700,0
TOI-2567 b,Transit,0.975,0.031,-0.029,0,0.20100,0.03400,-0.03100,0,0.26900,0.05200,-0.05100,0
Kepler-277 c,Transit,0.300,0.074,-0.064,0,0.20200,0.05700,-0.04900,0,,,,
Kepler-92 b,Transit,0.313,0.009,-0.009,0,0.20200,0.04400,-0.04400,0,,,,
NGTS-12 b,Transit,1.048,0.032,-0.032,0,0.20800,0.02200,-0.02200,0,0.22300,0.02900,-0.02900,0
HAT-P-12 b,Transit,0.959,0.029,-0.021,0,0.20840,0.00960,-0.00940,0,0.29600,0.02600,-0.02600,0
Kepler-363 c,Transit,0.215,0.061,-0.093,0,0.20900,0.22600,-0.17800,0,,,,
HAT-P-12 b,Transit,0.960,,,0,0.21000,,,0,,,,
HAT-P-12 b,Transit,0.959,0.029,-0.021,0,0.21100,0.01200,-0.01200,0,0.31920,0.01600,-0.01600,0
HAT-P-12 b,Transit,0.949,0.061,-0.061,0,0.21100,0.01200,-0.01200,0,0.32800,0.04500,-0.04500,0
Kepler-413 b,Transit,0.388,0.009,-0.009,0,0.21100,0.06900,-0.06600,0,3.20000,1.00000,-1.00000,0
K2-261 b,Transit,0.848,0.035,-0.032,0,0.21300,0.02600,-0.02800,0,0.43000,0.07400,-0.06800,0
TOI-1842 b,Transit,1.040,0.060,-0.050,0,0.21400,0.04000,-0.03800,0,0.25200,0.09100,-0.09100,0
CoRoT-8 b,Transit,0.712,0.084,-0.084,0,0.21600,0.03600,-0.03600,0,0.74000,0.28000,-0.28000,0
CoRoT-8 b,Transit,0.619,0.016,-0.017,0,0.21800,0.03400,-0.03400,0,1.10000,0.20000,-0.20000,0
CoRoT-8 b,Transit,0.570,0.020,-0.020,0,0.21800,0.03300,-0.04100,0,1.45000,0.29000,-0.29000,0
CoRoT-8 b,Transit,0.570,0.020,-0.020,0,0.22000,0.03000,-0.03000,0,1.60000,0.10000,-0.10000,0
Kepler-34 b,Transit,0.764,0.012,-0.014,0,0.22000,0.01100,-0.01000,0,0.61300,0.04500,-0.04100,0
