HJD	Radial_Veloctiy	uRV
2451355.84370000	-14651	7
2451355.85580000	-14668	7
2451364.83660000	-14829	9
2451364.84860000	-14828	9
2451365.83400000	-14717	10
2451365.84610000	-14707	11
2451366.84040000	-14660	8
2451366.85250000	-14679	8
2451367.86240000	-14808	14
2451374.85750000	-14771	13
2451374.86960000	-14780	11
2451380.80710000	-14639	11
2451380.81920000	-14663	12
2451381.78340000	-14778	9
2451381.79550000	-14773	9
2451382.80060000	-14801	12
2451382.81270000	-14802	10
2451383.78750000	-14661	10
2451383.79960000	-14668	11
2451384.78190000	-14660	11
2451384.79400000	-14683	10
2451385.77660000	-14813	9
2451385.78870000	-14798	9
2451386.77590000	-14748	9
2451386.78800000	-14733	9
2451389.78400000	-14805	11
2451389.79620000	-14790	11
2451390.75770000	-14670	9
2451390.76990000	-14683	9
2451391.75650000	-14708	8
2451391.76860000	-14710	8
2451392.74500000	-14803	8
2451392.75700000	-14829	7
2451393.76130000	-14730	9
2451393.77330000	-14729	9
2451394.75490000	-14662	9
2451394.76690000	-14654	10
2451395.79820000	-14736	9
2451395.81020000	-14756	11
2451398.82720000	-14682	14
2451399.78850000	-14845	12
2451400.80820000	-14752	13
2451401.75200000	-14612	13
2451402.82580000	-14723	11
2451403.74590000	-14821	10
2451408.74520000	-14636	9
2451408.75720000	-14658	8
2451408.76930000	-14656	9
2451417.70470000	-14828	7
2451417.71680000	-14841	7
2451418.74950000	-14690	12
2451418.76170000	-14765	15
2451431.71350000	-14824	9
2451432.70290000	-14757	12
2451433.66560000	-14657	8
2451435.61400000	-14819	12
2451437.63590000	-14708	13
2451438.66450000	-14831	7
2451438.67670000	-14836	7
2451439.65120000	-14761	10
2451439.68440000	-14750	8
2451443.65900000	-14702	10
2451443.67070000	-14699	10
2451447.64940000	-14632	13
2451447.66100000	-14660	13
2451459.64190000	-14821	13
2451459.65350000	-14801	15
2451463.56600000	-14847	12
2451463.57760000	-14825	11
2451464.54620000	-14696	9
2451464.55780000	-14716	9
2451465.61430000	-14666	11
2451465.62590000	-14704	12
2451480.59020000	-14817	13
2451481.52780000	-14801	9
2451484.58850000	-14837	13
2451484.60010000	-14859	12
2451487.52230000	-14774	11
2451487.53390000	-14793	11
2451488.51570000	-14793	12
2451488.52730000	-14857	10
2451494.54310000	-14786	10
2451497.52870000	-14714	10
2451497.54540000	-14700	7
2451497.56200000	-14733	12
2451497.57360000	-14684	13
2451497.58520000	-14709	15
2451782.76880000	-14648	11
2451782.78070000	-14668	11
2451783.62240000	-14806	11
2451784.67620000	-14790	13
2451785.61170000	-14689	12
2451785.62340000	-14637	11
2451786.69270000	-14723	8
2451786.70440000	-14713	8
2451789.71170000	-14667	7
2451790.64600000	-14776	10
2451791.63880000	-14809	9
2451793.63810000	-14697	14
2451795.59760000	-14761	12
2451843.61750000	-14798	9
2451843.62930000	-14811	10
2451861.50820000	-14819	11
2451861.52000000	-14830	10
2451862.50610000	-14763	11
2451862.51790000	-14753	9
2451863.51440000	-14669	13
2451863.52610000	-14635	13
2451864.52400000	-14789	13
2451865.53840000	-14791	14
2451868.51360000	-14819	10
2451868.52540000	-14811	11
2451872.52260000	-14774	15
2451872.53450000	-14804	14
2452129.71780000	-14806	10
2452130.72010000	-14693	7
2452130.73180000	-14705	7
2452140.72240000	-14798	13
2452140.73410000	-14780	11
2452142.73800000	-14727	7
2452143.72720000	-14816	7
2452143.73790000	-14834	9
2452150.68620000	-14816	7
2452150.69800000	-14820	8
2452161.67860000	-14820	12
2452162.68170000	-14694	6
2452165.66340000	-14752	14
2452166.67480000	-14665	10
2452168.62730000	-14839	8
2452169.67520000	-14677	10
2452170.66610000	-14698	10
2452171.63470000	-14819	9
2452172.64190000	-14766	7
2452173.63230000	-14645	7
2452175.65300000	-14837	9
2452177.67130000	-14707	9
2452178.62120000	-14800	14
2452184.63210000	-14669	7
2452184.64370000	-14675	8
2452439.93160000	-14825	9
2452439.94350000	-14800	10
